player_name,season,expected_goals,actual_goals,expected_assists,actual_assists
Jordan N&#039;Kololo,2015-2016,0.7691172296181321,0,1.2022679522633553,0
Alexandre Coeff,2015-2016,0.28330786991864443,0,1.8397306203842163,2
Nicolas Seube,2015-2016,0.4879970168694854,0,0.3905076272785664,1
Abdoulaye Diallo,2015-2016,0,0,0,0
Jesper Hansen,2015-2016,0,0,0,0
Koffi Djidji,2015-2016,0.213021419942379,0,0.06877478957176208,0
Marco Verratti,2015-2016,0.03769290074706077,0,1.6477561686187985,3
Mickaël Tacalfred,2015-2016,0.09026599582284688,0,0.06346973031759262,0
Franck Signorino,2015-2016,0.01724474877119064,0,0.6322608664631844,2
Abou Diaby,2015-2016,0,0,0,0
Renaud Cohade,2015-2016,0.5668454803526402,0,1.825401215814054,2
Jonathan Brison,2015-2016,0.01140497624874115,0,0.01856017298996448,0
Florent Balmont,2015-2016,0.7493016570806503,0,1.235516982153058,1
Lenny Nangis,2015-2016,0.31319310516119003,0,0.15174029767513275,2
Marko Basa,2015-2016,0.9098806940019132,0,0.05360940098762512,0
Steed Malbranque,2015-2016,0.2769426442682743,0,1.0640454860404134,1
Yrondu Musavu-King,2015-2016,0,0,0,0
Franck Hery,2015-2016,0,0,0,0
Maxime Poundje,2015-2016,0.09423260111361742,0,0.7189792953431606,1
Jean Ambrose,2015-2016,0,0,0,0
Antony Ranieri,2015-2016,0,0,0,0
Jemerson,2015-2016,0.10836087167263032,0,0.2730728257447481,0
Chris Mavinga,2015-2016,0.7916653212159872,0,1.637076915241778,1
Deniz Hummet,2015-2016,0.11547458171844482,0,0.01854622922837734,0
Jean-Pierre Nsamé,2015-2016,0.01731639541685581,0,0,0
Guy N&#039;Gosso,2015-2016,0,0,0.02397635579109192,0
Olivier Auriac,2015-2016,0.08436697162687778,0,0.193216934800148,0
Mathias Serin,2015-2016,0,0,0,0
Steven Moreira,2015-2016,0.02789784036576748,0,1.0555547066032889,0
Johny Placide,2015-2016,0,0,0.2286876142024994,0
Gilles Cioni,2015-2016,0.03883622772991657,0,0.353273531422019,0
Presnel Kimpembe,2015-2016,0,0,0.06399767100811005,0
Marvin Martin,2015-2016,0.1909788940101862,0,0.2228242037817836,1
Stéphan Raheriharimanana,2015-2016,0,0,0.00816919654607772,0
Brice Dja Djédjé,2015-2016,0.3915030770003795,0,0.7288165893405676,0
Lamine Gassama,2015-2016,0,0,1.007078460417688,1
Moryke Fofana,2015-2016,0,0,0.0273554865270853,0
Matthieu Saunier,2015-2016,1.4096636436879637,0,0.3703067433089018,0
Mory Kone,2015-2016,0,0,0.05138138309121132,1
Henri Bienvenu,2015-2016,0.6718757823109627,0,0.03025263175368309,0
Amos Youga,2015-2016,0.7644454552792013,0,0.8502354947850108,1
Ismael Diomande,2015-2016,0.092060093767941,0,0.1332234451547265,0
Johan Martial,2015-2016,0.05890504270792007,0,0,0
Mexer,2015-2016,0.2090588212013245,0,0,0
Lionel Mathis,2015-2016,0.35821798630058765,0,0.1863281112164259,1
Mamadou N&#039;Diaye,2015-2016,0.04843441769480705,0,0.40171992033720016,1
Jerome Prior,2015-2016,0,0,0,0
Kevin Malcuit,2015-2016,0.04798735957592726,0,0.7565568145364523,1
Ilyes Chaibi,2015-2016,0,0,0,0
Paulin Puel,2015-2016,0.06367242336273193,0,0.0109442276880145,0
Yacouba Sylla,2015-2016,0.43390726391226053,0,0.807893636636436,1
Alexis Peuget,2015-2016,0.45642696041613817,0,0.16454979311674833,0
Wallyson Mallmann,2015-2016,0.8910693628713489,0,0.6993773337453604,2
William Matheus,2015-2016,0,0,1.19905130751431,1
Stephane Sparagna,2015-2016,0.1766594797372818,0,0.6115082502365112,0
Enock Kwateng,2015-2016,0,0,0,0
Jeremie Bréchet,2015-2016,0.01342091988772153,0,0.04546674806624651,0
Charles Traore,2015-2016,0.03395063057541847,0,0.4437542781233787,0
Christopher Maboulou,2015-2016,0.17635931819677353,0,0.2704931776970625,1
Kermit Erasmus,2015-2016,0,0,0.09038975834846497,0
Jonathan Delaplace,2015-2016,0.8124589510262012,0,1.8545903423801064,2
Robin Maulun,2015-2016,0.01995531283318996,0,0.07190421223640442,0
Nicolas Douchez,2015-2016,0,0,0,0
Abdoulaye Touré,2015-2016,0.0320436367765069,0,0.37568963319063187,0
Erwin Koffi,2015-2016,0,0,0,0
Wesley Lautoa,2015-2016,0.25429806485772133,0,1.056960128247738,0
Issam Ben Khemis,2015-2016,0,0,0.3011007010936737,0
Hamadou Karamoko,2015-2016,0,0,0.0228604432195425,0
Rincon,2015-2016,0.2524189203977585,0,0.05778062716126442,0
Mahamadou N&#039;Diaye,2015-2016,0,0,0,0
Pantxi Sirieix,2015-2016,0,0,0.5965149253606796,2
Pavle Ninkov,2015-2016,0.01400194037705659,0,0.8988995850086212,1
Yassine Jebbour,2015-2016,0,0,0,0
Mamadou Samassa,2015-2016,0,0,0,0
Pierre-Yves Polomat,2015-2016,0.27627514535561204,0,0.33351259026676416,0
Franck Beria,2015-2016,0,0,0.07066181302070618,0
Joris Gnagnon,2015-2016,0.0541483499109745,0,0.04183514788746834,0
Adama Traoré,2015-2016,0.5050214976072311,0,0.36564018577337265,1
Ferebory Dore,2015-2016,1.1120387315750122,0,0.7195087261497974,1
Aissa Laidouni,2015-2016,0,0,0.06967098265886307,0
Hicham M&#039;Laab,2015-2016,0,0,0,0
Gautier Lloris,2015-2016,0,0,0,0
Nill de Pauw,2015-2016,0.7951490730047226,0,0.35586734022945166,0
Geoffrey Jourdren,2015-2016,0,0,0,0
Mana Dembele,2015-2016,1.015723466873169,0,0.4646729454398155,0
Hugo Rodriguez,2015-2016,0.02063976414501667,0,0.01885117962956428,0
Timothee Taufflieb,2015-2016,0,0,0,0
Kevin Rimane,2015-2016,0,0,0,0
Sébastien Wüthrich,2015-2016,0.0252544954419136,0,0,0
Anthony Walongwa,2015-2016,0,0,0,0
Isaac Thelin,2015-2016,1.0120317852124572,0,0.0455842986702919,0
Samuel Grandsir,2015-2016,0,0,0,0
Yakou Meite,2015-2016,0,0,0,0
Slimane Sissoko,2015-2016,0.5646314825862646,0,0.1522493502125144,0
Romain Del Castillo,2015-2016,0.0891118273139,0,0,0
Kevin Gomis,2015-2016,0,0,0.13953010737895966,0
Baptiste Guillaume,2015-2016,0.5999860893934965,0,0.12873656302690506,0
Anthony Ribelin,2015-2016,0,0,0.01788947917521,0
Cédric Carrasso,2015-2016,0,0,0,0
Paul Andre Guerin,2015-2016,0,0,0,0
Hassane Kamara,2015-2016,0.00771175837144255,0,0,0
Valentin Lavigne,2015-2016,0.1020953133702278,0,0,0
Nicolas Janvier,2015-2016,0.09041891247034071,0,0.03878096304833889,0
Jérémie Porsan-Clemente,2015-2016,0,0,0,0
Mike Maignan,2015-2016,0,0,0,0
Sehrou Guirassy,2015-2016,0.7470686566084623,0,0.3348555266857147,0
Soualiho Meité,2015-2016,0.1218772828578949,0,0,0
Lucas Deaux,2015-2016,0.2120125517249107,0,0.31574250385165215,0
Paul Lasne,2015-2016,0.187729824334383,0,0.02626807056367397,0
Jean Deza,2015-2016,0.14581377431750298,0,0.0294661745429039,0
Lucas Tousart,2015-2016,0,0,0,0
